medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Gold Medal,1,27-07-2024,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Individual Time Trial,ATH
Silver Medal,2,27-07-2024,Filippo GANNA,ITA,M,Cycling Road,Men's Individual Time Trial,ATH
Bronze Medal,3,27-07-2024,Wout van AERT,BEL,M,Cycling Road,Men's Individual Time Trial,ATH
Gold Medal,1,27-07-2024,Grace BROWN,AUS,W,Cycling Road,Women's Individual Time Trial,ATH
Silver Medal,2,27-07-2024,Anna HENDERSON,GBR,W,Cycling Road,Women's Individual Time Trial,ATH
Bronze Medal,3,27-07-2024,Chloe DYGERT,USA,W,Cycling Road,Women's Individual Time Trial,ATH
Gold Medal,1,27-07-2024,China,CHN,W,Diving,Women's Synchronised 3m Springboard,TEAM
Silver Medal,2,27-07-2024,United States,USA,W,Diving,Women's Synchronised 3m Springboard,TEAM
Bronze Medal,3,27-07-2024,Great Britain,GBR,W,Diving,Women's Synchronised 3m Springboard,TEAM
Gold Medal,1,27-07-2024,OH Sanguk,KOR,M,Fencing,Men's Sabre Individual,HATH
Silver Medal,2,27-07-2024,Fares FERJANI,TUN,M,Fencing,Men's Sabre Individual,HATH
Bronze Medal,3,27-07-2024,Luigi SAMELE,ITA,M,Fencing,Men's Sabre Individual,HATH
Gold Medal,1,27-07-2024,KONG Man Wai Vivian,HKG,W,Fencing,Women's Épée Individual,HATH
Silver Medal,2,27-07-2024,Auriane MALLO-BRETON,FRA,W,Fencing,Women's Épée Individual,HATH
Bronze Medal,3,27-07-2024,Eszter MUHARI,HUN,W,Fencing,Women's Épée Individual,HATH
Gold Medal,1,27-07-2024,Yeldos SMETOV,KAZ,M,Judo,Men -60 kg,HATH
Silver Medal,2,27-07-2024,Luka MKHEIDZE,FRA,M,Judo,Men -60 kg,HATH
Bronze Medal,3,27-07-2024,NAGAYAMA Ryuju,JPN,M,Judo,Men -60 kg,HATH
Bronze Medal,3,27-07-2024,Francisco GARRIGOS,ESP,M,Judo,Men -60 kg,HATH
Gold Medal,1,27-07-2024,TSUNODA Natsumi,JPN,W,Judo,Women -48 kg,HATH
Silver Medal,2,27-07-2024,Baasankhuu BAVUUDORJ,MGL,W,Judo,Women -48 kg,HATH
Bronze Medal,3,27-07-2024,Shirine BOUKLI,FRA,W,Judo,Women -48 kg,HATH
Bronze Medal,3,27-07-2024,Tara BABULFATH,SWE,W,Judo,Women -48 kg,HATH
Gold Medal,1,27-07-2024,France,FRA,M,Rugby Sevens,Men,HTEAM
Silver Medal,2,27-07-2024,Fiji,FIJ,M,Rugby Sevens,Men,HTEAM
Bronze Medal,3,27-07-2024,South Africa,RSA,M,Rugby Sevens,Men,HTEAM
Gold Medal,1,27-07-2024,China 1,CHN,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Silver Medal,2,27-07-2024,Korea 1,KOR,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Bronze Medal,3,27-07-2024,Kazakhstan 1,KAZ,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Gold Medal,1,27-07-2024,United States,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Silver Medal,2,27-07-2024,Australia,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Bronze Medal,3,27-07-2024,Italy,ITA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Gold Medal,1,27-07-2024,Lukas MAERTENS,GER,M,Swimming,Men's 400m Freestyle,ATH
Silver Medal,2,27-07-2024,Elijah WINNINGTON,AUS,M,Swimming,Men's 400m Freestyle,ATH
Bronze Medal,3,27-07-2024,KIM Woomin,KOR,M,Swimming,Men's 400m Freestyle,ATH
Gold Medal,1,27-07-2024,Australia,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Silver Medal,2,27-07-2024,United States,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Bronze Medal,3,27-07-2024,China,CHN,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Gold Medal,1,27-07-2024,Ariarne TITMUS,AUS,W,Swimming,Women's 400m Freestyle,ATH
Silver Medal,2,27-07-2024,Summer McINTOSH,CAN,W,Swimming,Women's 400m Freestyle,ATH
Bronze Medal,3,27-07-2024,Katie LEDECKY,USA,W,Swimming,Women's 400m Freestyle,ATH
Gold Medal,1,28-07-2024,Korea,KOR,W,Archery,Women's Team,HTEAM
Silver Medal,2,28-07-2024,China,CHN,W,Archery,Women's Team,HTEAM
Bronze Medal,3,28-07-2024,Mexico,MEX,W,Archery,Women's Team,HTEAM
Gold Medal,1,28-07-2024,Jessica FOX,AUS,W,Canoe Slalom,Women's Kayak Single,ATH
Silver Medal,2,28-07-2024,Klaudia ZWOLINSKA,POL,W,Canoe Slalom,Women's Kayak Single,ATH
Bronze Medal,3,28-07-2024,Kimberley WOODS,GBR,W,Canoe Slalom,Women's Kayak Single,ATH
Gold Medal,1,28-07-2024,Pauline FERRAND PREVOT,FRA,W,Cycling Mountain Bike,Women's Cross-country,ATH
Silver Medal,2,28-07-2024,Haley BATTEN,USA,W,Cycling Mountain Bike,Women's Cross-country,ATH
Bronze Medal,3,28-07-2024,Jenny RISSVEDS,SWE,W,Cycling Mountain Bike,Women's Cross-country,ATH
Gold Medal,1,28-07-2024,KANO Koki,JPN,M,Fencing,Men's Épée Individual,HATH
Silver Medal,2,28-07-2024,Yannick BOREL,FRA,M,Fencing,Men's Épée Individual,HATH
Bronze Medal,3,28-07-2024,Mohamed ELSAYED,EGY,M,Fencing,Men's Épée Individual,HATH
Gold Medal,1,28-07-2024,Lee KIEFER,USA,W,Fencing,Women's Foil Individual,HATH
Silver Medal,2,28-07-2024,Lauren SCRUGGS,USA,W,Fencing,Women's Foil Individual,HATH
Bronze Medal,3,28-07-2024,Eleanor HARVEY,CAN,W,Fencing,Women's Foil Individual,HATH
Gold Medal,1,28-07-2024,ABE Hifumi,JPN,M,Judo,Men -66 kg,HATH
Silver Medal,2,28-07-2024,Willian LIMA,BRA,M,Judo,Men -66 kg,HATH
Bronze Medal,3,28-07-2024,Gusman KYRGYZBAYEV,KAZ,M,Judo,Men -66 kg,HATH
Bronze Medal,3,28-07-2024,Denis VIERU,MDA,M,Judo,Men -66 kg,HATH
Gold Medal,1,28-07-2024,Diyora KELDIYOROVA,UZB,W,Judo,Women -52 kg,HATH
Silver Medal,2,28-07-2024,Distria KRASNIQI,KOS,W,Judo,Women -52 kg,HATH
Bronze Medal,3,28-07-2024,Larissa PIMENTA,BRA,W,Judo,Women -52 kg,HATH
Bronze Medal,3,28-07-2024,Amandine BUCHARD,FRA,W,Judo,Women -52 kg,HATH
Gold Medal,1,28-07-2024,XIE Yu,CHN,M,Shooting,10m Air Pistol Men,ATH
Silver Medal,2,28-07-2024,Federico Nilo MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH
Bronze Medal,3,28-07-2024,Paolo MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH
Gold Medal,1,28-07-2024,OH Ye Jin,KOR,W,Shooting,10m Air Pistol Women,ATH
Silver Medal,2,28-07-2024,KIM Yeji,KOR,W,Shooting,10m Air Pistol Women,ATH
Bronze Medal,3,28-07-2024,Manu BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH
Gold Medal,1,28-07-2024,YOSHIZAWA Coco,JPN,W,Skateboarding,Women's Street,ATH
Silver Medal,2,28-07-2024,AKAMA Liz,JPN,W,Skateboarding,Women's Street,ATH
Bronze Medal,3,28-07-2024,Rayssa LEAL,BRA,W,Skateboarding,Women's Street,ATH
Gold Medal,1,28-07-2024,Nicolo MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH
Silver Medal,2,28-07-2024,Adam PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH
Silver Medal,2,28-07-2024,Nic FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH
Gold Medal,1,28-07-2024,Leon MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH
Silver Medal,2,28-07-2024,MATSUSHITA Tomoyuki,JPN,M,Swimming,Men's 400m Individual Medley,ATH
Bronze Medal,3,28-07-2024,Carson FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH
Gold Medal,1,28-07-2024,Torri HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH
Silver Medal,2,28-07-2024,Gretchen WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH
Bronze Medal,3,28-07-2024,ZHANG Yufei,CHN,W,Swimming,Women's 100m Butterfly,ATH
Gold Medal,1,29-07-2024,Korea,KOR,M,Archery,Men's Team,HTEAM
Silver Medal,2,29-07-2024,France,FRA,M,Archery,Men's Team,HTEAM
Bronze Medal,3,29-07-2024,Türkiye,TUR,M,Archery,Men's Team,HTEAM
Gold Medal,1,29-07-2024,Japan,JPN,M,Artistic Gymnastics,Men's Team,TEAM
Silver Medal,2,29-07-2024,China,CHN,M,Artistic Gymnastics,Men's Team,TEAM
Bronze Medal,3,29-07-2024,United States,USA,M,Artistic Gymnastics,Men's Team,TEAM
Gold Medal,1,29-07-2024,Nicolas GESTIN,FRA,M,Canoe Slalom,Men's Canoe Single,ATH
Silver Medal,2,29-07-2024,Adam BURGESS,GBR,M,Canoe Slalom,Men's Canoe Single,ATH
Bronze Medal,3,29-07-2024,Matej BENUS,SVK,M,Canoe Slalom,Men's Canoe Single,ATH
Gold Medal,1,29-07-2024,Thomas PIDCOCK,GBR,M,Cycling Mountain Bike,Men's Cross-country,ATH
Silver Medal,2,29-07-2024,Victor KORETZKY,FRA,M,Cycling Mountain Bike,Men's Cross-country,ATH
Bronze Medal,3,29-07-2024,Alan HATHERLY,RSA,M,Cycling Mountain Bike,Men's Cross-country,ATH
Gold Medal,1,29-07-2024,China,CHN,M,Diving,Men's Synchronised 10m Platform,TEAM
Silver Medal,2,29-07-2024,Great Britain,GBR,M,Diving,Men's Synchronised 10m Platform,TEAM
Bronze Medal,3,29-07-2024,Canada,CAN,M,Diving,Men's Synchronised 10m Platform,TEAM
Gold Medal,1,29-07-2024,Michael JUNG,GER,O,Equestrian,Eventing Individual,ATH
Silver Medal,2,29-07-2024,Christopher BURTON,AUS,O,Equestrian,Eventing Individual,ATH
Bronze Medal,3,29-07-2024,Laura COLLETT,GBR,O,Equestrian,Eventing Individual,ATH
Gold Medal,1,29-07-2024,Great Britain,GBR,O,Equestrian,Eventing Team,TEAM
Silver Medal,2,29-07-2024,France,FRA,O,Equestrian,Eventing Team,TEAM
Bronze Medal,3,29-07-2024,Japan,JPN,O,Equestrian,Eventing Team,TEAM
Gold Medal,1,29-07-2024,CHEUNG Ka Long,HKG,M,Fencing,Men's Foil Individual,HATH
Silver Medal,2,29-07-2024,Filippo MACCHI,ITA,M,Fencing,Men's Foil Individual,HATH
Bronze Medal,3,29-07-2024,Nick ITKIN,USA,M,Fencing,Men's Foil Individual,HATH
Gold Medal,1,29-07-2024,Manon APITHY-BRUNET,FRA,W,Fencing,Women's Sabre Individual,HATH
Silver Medal,2,29-07-2024,Sara BALZER,FRA,W,Fencing,Women's Sabre Individual,HATH
Bronze Medal,3,29-07-2024,Olga KHARLAN,UKR,W,Fencing,Women's Sabre Individual,HATH
Gold Medal,1,29-07-2024,Hidayat HEYDAROV,AZE,M,Judo,Men -73 kg,HATH
Silver Medal,2,29-07-2024,Joan-Benjamin GABA,FRA,M,Judo,Men -73 kg,HATH
Bronze Medal,3,29-07-2024,Adil OSMANOV,MDA,M,Judo,Men -73 kg,HATH
Bronze Medal,3,29-07-2024,HASHIMOTO Soichi,JPN,M,Judo,Men -73 kg,HATH
Gold Medal,1,29-07-2024,Christa DEGUCHI,CAN,W,Judo,Women -57 kg,HATH
Silver Medal,2,29-07-2024,HUH Mimi,KOR,W,Judo,Women -57 kg,HATH
Bronze Medal,3,29-07-2024,FUNAKUBO Haruka,JPN,W,Judo,Women -57 kg,HATH
Bronze Medal,3,29-07-2024,Sarah Leonie CYSIQUE,FRA,W,Judo,Women -57 kg,HATH
Gold Medal,1,29-07-2024,SHENG Lihao,CHN,M,Shooting,10m Air Rifle Men,ATH
Silver Medal,2,29-07-2024,Victor LINDGREN,SWE,M,Shooting,10m Air Rifle Men,ATH
Bronze Medal,3,29-07-2024,Miran MARICIC,CRO,M,Shooting,10m Air Rifle Men,ATH
Gold Medal,1,29-07-2024,BAN Hyojin,KOR,W,Shooting,10m Air Rifle Women,ATH
Silver Medal,2,29-07-2024,HUANG Yuting,CHN,W,Shooting,10m Air Rifle Women,ATH
Bronze Medal,3,29-07-2024,Audrey GOGNIAT,SUI,W,Shooting,10m Air Rifle Women,ATH
Gold Medal,1,29-07-2024,HORIGOME Yuto,JPN,M,Skateboarding,Men's Street,ATH
Silver Medal,2,29-07-2024,Jagger EATON,USA,M,Skateboarding,Men's Street,ATH
Bronze Medal,3,29-07-2024,Nyjah HUSTON,USA,M,Skateboarding,Men's Street,ATH
Gold Medal,1,29-07-2024,Thomas CECCON,ITA,M,Swimming,Men's 100m Backstroke,ATH
Silver Medal,2,29-07-2024,XU Jiayu,CHN,M,Swimming,Men's 100m Backstroke,ATH
Bronze Medal,3,29-07-2024,Ryan MURPHY,USA,M,Swimming,Men's 100m Backstroke,ATH
Gold Medal,1,29-07-2024,David POPOVICI,ROU,M,Swimming,Men's 200m Freestyle,ATH
Silver Medal,2,29-07-2024,Matthew RICHARDS,GBR,M,Swimming,Men's 200m Freestyle,ATH
Bronze Medal,3,29-07-2024,Luke HOBSON,USA,M,Swimming,Men's 200m Freestyle,ATH
Gold Medal,1,29-07-2024,Tatjana SMITH,RSA,W,Swimming,Women's 100m Breaststroke,ATH
Silver Medal,2,29-07-2024,TANG Qianting,CHN,W,Swimming,Women's 100m Breaststroke,ATH
Bronze Medal,3,29-07-2024,Mona Mc SHARRY,IRL,W,Swimming,Women's 100m Breaststroke,ATH
Gold Medal,1,29-07-2024,Mollie O'CALLAGHAN,AUS,W,Swimming,Women's 200m Freestyle,ATH
Silver Medal,2,29-07-2024,Ariarne TITMUS,AUS,W,Swimming,Women's 200m Freestyle,ATH
Bronze Medal,3,29-07-2024,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 200m Freestyle,ATH
Gold Medal,1,29-07-2024,Summer McINTOSH,CAN,W,Swimming,Women's 400m Individual Medley,ATH
Silver Medal,2,29-07-2024,Katie GRIMES,USA,W,Swimming,Women's 400m Individual Medley,ATH
Bronze Medal,3,29-07-2024,Emma WEYANT,USA,W,Swimming,Women's 400m Individual Medley,ATH
Gold Medal,1,30-07-2024,United States,USA,W,Artistic Gymnastics,Women's Team,TEAM
Silver Medal,2,30-07-2024,Italy,ITA,W,Artistic Gymnastics,Women's Team,TEAM
Bronze Medal,3,30-07-2024,Brazil,BRA,W,Artistic Gymnastics,Women's Team,TEAM
Gold Medal,1,30-07-2024,Italy,ITA,W,Fencing,Women's Épée Team,HTEAM
Silver Medal,2,30-07-2024,France,FRA,W,Fencing,Women's Épée Team,HTEAM
Bronze Medal,3,30-07-2024,Poland,POL,W,Fencing,Women's Épée Team,HTEAM
Gold Medal,1,30-07-2024,NAGASE Takanori,JPN,M,Judo,Men -81 kg,HATH
Silver Medal,2,30-07-2024,Tato GRIGALASHVILI,GEO,M,Judo,Men -81 kg,HATH
Bronze Medal,3,30-07-2024,LEE Joonhwan,KOR,M,Judo,Men -81 kg,HATH
Bronze Medal,3,30-07-2024,Somon MAKHMADBEKOV,TJK,M,Judo,Men -81 kg,HATH
Gold Medal,1,30-07-2024,Andreja LESKI,SLO,W,Judo,Women -63 kg,HATH
Silver Medal,2,30-07-2024,Prisca AWITI ALCARAZ,MEX,W,Judo,Women -63 kg,HATH
Bronze Medal,3,30-07-2024,Clarisse AGBEGNENOU,FRA,W,Judo,Women -63 kg,HATH
Bronze Medal,3,30-07-2024,Laura FAZLIU,KOS,W,Judo,Women -63 kg,HATH
Gold Medal,1,30-07-2024,New Zealand,NZL,W,Rugby Sevens,Women,HTEAM
Silver Medal,2,30-07-2024,Canada,CAN,W,Rugby Sevens,Women,HTEAM
Bronze Medal,3,30-07-2024,United States,USA,W,Rugby Sevens,Women,HTEAM
Gold Medal,1,30-07-2024,Serbia,SRB,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Silver Medal,2,30-07-2024,Türkiye 2,TUR,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Bronze Medal,3,30-07-2024,India 1,IND,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Gold Medal,1,30-07-2024,Nathan HALES,GBR,M,Shooting,Trap Men,ATH
Silver Medal,2,30-07-2024,QI Ying,CHN,M,Shooting,Trap Men,ATH
Bronze Medal,3,30-07-2024,Jean Pierre BROL CARDENAS,GUA,M,Shooting,Trap Men,ATH
Gold Medal,1,30-07-2024,Great Britain,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Silver Medal,2,30-07-2024,United States,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Bronze Medal,3,30-07-2024,Australia,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Gold Medal,1,30-07-2024,Daniel WIFFEN,IRL,M,Swimming,Men's 800m Freestyle,ATH
Silver Medal,2,30-07-2024,Bobby FINKE,USA,M,Swimming,Men's 800m Freestyle,ATH
Bronze Medal,3,30-07-2024,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 800m Freestyle,ATH
Gold Medal,1,30-07-2024,Kaylee McKEOWN,AUS,W,Swimming,Women's 100m Backstroke,ATH
Silver Medal,2,30-07-2024,Regan SMITH,USA,W,Swimming,Women's 100m Backstroke,ATH
Bronze Medal,3,30-07-2024,Katharine BERKOFF,USA,W,Swimming,Women's 100m Backstroke,ATH
Gold Medal,1,30-07-2024,WANG/SUN,CHN,X,Table Tennis,Mixed Doubles,HCOUP
Silver Medal,2,30-07-2024,RI/KIM,PRK,X,Table Tennis,Mixed Doubles,HCOUP
Bronze Medal,3,30-07-2024,LIM/SHIN,KOR,X,Table Tennis,Mixed Doubles,HCOUP
Gold Medal,1,31-07-2024,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's All-Around,ATH
Silver Medal,2,31-07-2024,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH
Bronze Medal,3,31-07-2024,XIAO Ruoteng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH
Gold Medal,1,31-07-2024,Jessica FOX,AUS,W,Canoe Slalom,Women's Canoe Single,ATH
Silver Medal,2,31-07-2024,Elena LILIK,GER,W,Canoe Slalom,Women's Canoe Single,ATH
Bronze Medal,3,31-07-2024,Evy LEIBFARTH,USA,W,Canoe Slalom,Women's Canoe Single,ATH
Gold Medal,1,31-07-2024,Jose TORRES GIL,ARG,M,Cycling BMX Freestyle,Men's Park,ATH
Silver Medal,2,31-07-2024,Kieran Darren David REILLY,GBR,M,Cycling BMX Freestyle,Men's Park,ATH
Bronze Medal,3,31-07-2024,Anthony JEANJEAN,FRA,M,Cycling BMX Freestyle,Men's Park,ATH
Gold Medal,1,31-07-2024,DENG Yawen,CHN,W,Cycling BMX Freestyle,Women's Park,ATH
Silver Medal,2,31-07-2024,Perris BENEGAS,USA,W,Cycling BMX Freestyle,Women's Park,ATH
Bronze Medal,3,31-07-2024,Natalya DIEHM,AUS,W,Cycling BMX Freestyle,Women's Park,ATH
Gold Medal,1,31-07-2024,China,CHN,W,Diving,Women's Synchronised 10m Platform,TEAM
Silver Medal,2,31-07-2024,DPR Korea,PRK,W,Diving,Women's Synchronised 10m Platform,TEAM
Bronze Medal,3,31-07-2024,Great Britain,GBR,W,Diving,Women's Synchronised 10m Platform,TEAM
Gold Medal,1,31-07-2024,Korea,KOR,M,Fencing,Men's Sabre Team,HTEAM
Silver Medal,2,31-07-2024,Hungary,HUN,M,Fencing,Men's Sabre Team,HTEAM
Bronze Medal,3,31-07-2024,France,FRA,M,Fencing,Men's Sabre Team,HTEAM
Gold Medal,1,31-07-2024,Lasha BEKAURI,GEO,M,Judo,Men -90 kg,HATH
Silver Medal,2,31-07-2024,MURAO Sanshiro,JPN,M,Judo,Men -90 kg,HATH
Bronze Medal,3,31-07-2024,Maxime-Gael NGAYAP HAMBOU,FRA,M,Judo,Men -90 kg,HATH
Bronze Medal,3,31-07-2024,Theodoros TSELIDIS,GRE,M,Judo,Men -90 kg,HATH
Gold Medal,1,31-07-2024,Barbara MATIC,CRO,W,Judo,Women -70 kg,HATH
Silver Medal,2,31-07-2024,Miriam BUTKEREIT,GER,W,Judo,Women -70 kg,HATH
Bronze Medal,3,31-07-2024,Michaela POLLERES,AUT,W,Judo,Women -70 kg,HATH
Bronze Medal,3,31-07-2024,Gabriella WILLEMS,BEL,W,Judo,Women -70 kg,HATH
Gold Medal,1,31-07-2024,Netherlands,NED,M,Rowing,Men's Quadruple Sculls,TEAM
Silver Medal,2,31-07-2024,Italy,ITA,M,Rowing,Men's Quadruple Sculls,TEAM
Bronze Medal,3,31-07-2024,Poland,POL,M,Rowing,Men's Quadruple Sculls,TEAM
Gold Medal,1,31-07-2024,Great Britain,GBR,W,Rowing,Women's Quadruple Sculls,TEAM
