medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Gold Medal,1,09-08-2024,CHEN Yiwen,CHN,W,Diving,Women's 3m Springboard,ATH
Silver Medal,2,09-08-2024,Maddison KEENEY,AUS,W,Diving,Women's 3m Springboard,ATH
Bronze Medal,3,09-08-2024,CHANG Yani,CHN,W,Diving,Women's 3m Springboard,ATH
Gold Medal,1,09-08-2024,Spain,ESP,M,Football,Men,HTEAM
Silver Medal,2,09-08-2024,France,FRA,M,Football,Men,HTEAM
Bronze Medal,3,09-08-2024,Germany,GER,W,Football,Women,HTEAM
Gold Medal,1,09-08-2024,Netherlands,NED,W,Hockey,Women,HTEAM
Silver Medal,2,09-08-2024,China,CHN,W,Hockey,Women,HTEAM
Bronze Medal,3,09-08-2024,Argentina,ARG,W,Hockey,Women,HTEAM
Gold Medal,1,09-08-2024,Kristof RASOVSZKY,HUN,M,Marathon Swimming,Men's 10km,ATH
Silver Medal,2,09-08-2024,Oliver KLEMET,GER,M,Marathon Swimming,Men's 10km,ATH
Bronze Medal,3,09-08-2024,David BETLEHEM,HUN,M,Marathon Swimming,Men's 10km,ATH
Gold Medal,1,09-08-2024,Valentin BONTUS,AUT,M,Sailing,Men's Kite,ATH
Silver Medal,2,09-08-2024,Toni VODISEK,SLO,M,Sailing,Men's Kite,ATH
Bronze Medal,3,09-08-2024,Maximilian MAEDER,SGP,M,Sailing,Men's Kite,ATH
Gold Medal,1,09-08-2024,Toby ROBERTS,GBR,M,Sport Climbing,Men's Boulder & Lead,ATH
Silver Medal,2,09-08-2024,ANRAKU Sorato,JPN,M,Sport Climbing,Men's Boulder & Lead,ATH
Bronze Medal,3,09-08-2024,Jakob SCHUBERT,AUT,M,Sport Climbing,Men's Boulder & Lead,ATH
Gold Medal,1,09-08-2024,China,CHN,M,Table Tennis,Men's Team,HTEAM
Silver Medal,2,09-08-2024,Sweden,SWE,M,Table Tennis,Men's Team,HTEAM
Bronze Medal,3,09-08-2024,France,FRA,M,Table Tennis,Men's Team,HTEAM
Gold Medal,1,09-08-2024,Firas KATOUSSI,TUN,M,Taekwondo,Men -80kg,HATH
Silver Medal,2,09-08-2024,Mehran BARKHORDARI,IRI,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,09-08-2024,Simone ALESSIO,ITA,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,09-08-2024,Edi HRNIC,DEN,M,Taekwondo,Men -80kg,HATH
Gold Medal,1,09-08-2024,Viviana MARTON,HUN,W,Taekwondo,Women -67kg,HATH
Silver Medal,2,09-08-2024,Aleksandra PERISIC,SRB,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,Kristina TEACHOUT,USA,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,Sarah CHAARI,BEL,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,09-08-2024,United States,USA,M,Volleyball,Men,HTEAM
Gold Medal,1,09-08-2024,Karlos May NASAR,BUL,M,Weightlifting,Men's 89kg,ATH
Silver Medal,2,09-08-2024,Yeison LOPEZ,COL,M,Weightlifting,Men's 89kg,ATH
Bronze Medal,3,09-08-2024,Antonino PIZZOLATO,ITA,M,Weightlifting,Men's 89kg,ATH
Gold Medal,1,09-08-2024,Olivia REEVES,USA,W,Weightlifting,Women's 71kg,ATH
Silver Medal,2,09-08-2024,Mari Leivis SANCHEZ,COL,W,Weightlifting,Women's 71kg,ATH
Bronze Medal,3,09-08-2024,Angie Paola PALACIOS DAJOMES,ECU,W,Weightlifting,Women's 71kg,ATH
Gold Medal,1,09-08-2024,HIGUCHI Rei,JPN,M,Wrestling,Men's Freestyle 57kg,HATH
Silver Medal,2,09-08-2024,Spencer Richard LEE,USA,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Aman AMAN,IND,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Gulomjon ABDULLAEV,UZB,M,Wrestling,Men's Freestyle 57kg,HATH
Gold Medal,1,09-08-2024,Magomed Eldarovitch RAMAZANOV,BUL,M,Wrestling,Men's Freestyle 86kg,HATH
Silver Medal,2,09-08-2024,Hassan YAZDANICHARATI,IRI,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,09-08-2024,Aaron Marquel BROOKS,USA,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,09-08-2024,Dauren KURUGLIEV,GRE,M,Wrestling,Men's Freestyle 86kg,HATH
Gold Medal,1,09-08-2024,SAKURAI Tsugumi,JPN,W,Wrestling,Women's Freestyle 57kg,HATH
Silver Medal,2,09-08-2024,Anastasia NICHITA,MDA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,Helen Louise MAROULIS,USA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,09-08-2024,HONG Kexin,CHN,W,Wrestling,Women's Freestyle 57kg,HATH
Gold Medal,1,10-08-2024,China,CHN,W,Artistic Swimming,Duet,COUP
Silver Medal,2,10-08-2024,Great Britain,GBR,W,Artistic Swimming,Duet,COUP
Bronze Medal,3,10-08-2024,Netherlands,NED,W,Artistic Swimming,Duet,COUP
Gold Medal,1,10-08-2024,United States,USA,M,Athletics,Men's 4 x 400m Relay,TEAM
Silver Medal,2,10-08-2024,Botswana,BOT,M,Athletics,Men's 4 x 400m Relay,TEAM
Bronze Medal,3,10-08-2024,Great Britain,GBR,M,Athletics,Men's 4 x 400m Relay,TEAM
Gold Medal,1,10-08-2024,Jakob INGEBRIGTSEN,NOR,M,Athletics,Men's 5000m,ATH
Silver Medal,2,10-08-2024,Ronald KWEMOI,KEN,M,Athletics,Men's 5000m,ATH
Bronze Medal,3,10-08-2024,Grant FISHER,USA,M,Athletics,Men's 5000m,ATH
Gold Medal,1,10-08-2024,Emmanuel WANYONYI,KEN,M,Athletics,Men's 800m,ATH
Silver Medal,2,10-08-2024,Marco AROP,CAN,M,Athletics,Men's 800m,ATH
Bronze Medal,3,10-08-2024,Djamel SEDJATI,ALG,M,Athletics,Men's 800m,ATH
Gold Medal,1,10-08-2024,Hamish KERR,NZL,M,Athletics,Men's High Jump,ATH
Silver Medal,2,10-08-2024,Shelby McEWEN,USA,M,Athletics,Men's High Jump,ATH
Bronze Medal,3,10-08-2024,Mutaz Essa BARSHIM,QAT,M,Athletics,Men's High Jump,ATH
Gold Medal,1,10-08-2024,Tamirat TOLA,ETH,M,Athletics,Men's Marathon,ATH
Silver Medal,2,10-08-2024,Bashir ABDI,BEL,M,Athletics,Men's Marathon,ATH
Bronze Medal,3,10-08-2024,Benson KIPRUTO,KEN,M,Athletics,Men's Marathon,ATH
Gold Medal,1,10-08-2024,Masai RUSSELL,USA,W,Athletics,Women's 100m Hurdles,ATH
Silver Medal,2,10-08-2024,Cyrena SAMBA-MAYELA,FRA,W,Athletics,Women's 100m Hurdles,ATH
Bronze Medal,3,10-08-2024,Jasmine CAMACHO-QUINN,PUR,W,Athletics,Women's 100m Hurdles,ATH
Gold Medal,1,10-08-2024,Faith KIPYEGON,KEN,W,Athletics,Women's 1500m,ATH
Silver Medal,2,10-08-2024,Jessica HULL,AUS,W,Athletics,Women's 1500m,ATH
Bronze Medal,3,10-08-2024,Georgia BELL,GBR,W,Athletics,Women's 1500m,ATH
Gold Medal,1,10-08-2024,United States,USA,W,Athletics,Women's 4 x 400m Relay,TEAM
Silver Medal,2,10-08-2024,Netherlands,NED,W,Athletics,Women's 4 x 400m Relay,TEAM
Bronze Medal,3,10-08-2024,Great Britain,GBR,W,Athletics,Women's 4 x 400m Relay,TEAM
Gold Medal,1,10-08-2024,KITAGUCHI Haruka,JPN,W,Athletics,Women's Javelin Throw,ATH
Silver Medal,2,10-08-2024,Jo-Ane van DYK,RSA,W,Athletics,Women's Javelin Throw,ATH
Bronze Medal,3,10-08-2024,Nikola OGRODNIKOVA,CZE,W,Athletics,Women's Javelin Throw,ATH
Gold Medal,1,10-08-2024,United States,USA,M,Basketball,Men,HTEAM
Silver Medal,2,10-08-2024,France,FRA,M,Basketball,Men,HTEAM
Bronze Medal,3,10-08-2024,Serbia,SRB,M,Basketball,Men,HTEAM
Gold Medal,1,10-08-2024,AHMAN/HELLVIG,SWE,M,Beach Volleyball,Men,HTEAM
Silver Medal,2,10-08-2024,EHLERS/WICKLER,GER,M,Beach Volleyball,Men,HTEAM
Bronze Medal,3,10-08-2024,MOL/SORUM,NOR,M,Beach Volleyball,Men,HTEAM
Gold Medal,1,10-08-2024,Bakhodir JALOLOV,UZB,M,Boxing,Men's +92kg,HATH
Silver Medal,2,10-08-2024,Ayoub GHADFA DRISSI EL AISSAOUI,ESP,M,Boxing,Men's +92kg,HATH
Gold Medal,1,10-08-2024,Abdumalik KHALOKOV,UZB,M,Boxing,Men's 57kg,HATH
Silver Medal,2,10-08-2024,Munarbek SEIITBEK UULU,KGZ,M,Boxing,Men's 57kg,HATH
Gold Medal,1,10-08-2024,LIN Yu Ting,TPE,W,Boxing,Women's 57kg,HATH
Silver Medal,2,10-08-2024,Julia SZEREMETA,POL,W,Boxing,Women's 57kg,HATH
Gold Medal,1,10-08-2024,LI Qian,CHN,W,Boxing,Women's 75kg,HATH
Silver Medal,2,10-08-2024,Atheyna Bibeichi BYLON,PAN,W,Boxing,Women's 75kg,HATH
Gold Medal,1,10-08-2024,PHIL WIZARD,CAN,M,Breaking,B-Boys,HATH
Silver Medal,2,10-08-2024,DANY DANN,FRA,M,Breaking,B-Boys,HATH
Bronze Medal,3,10-08-2024,VICTOR,USA,M,Breaking,B-Boys,HATH
Gold Medal,1,10-08-2024,Josef DOSTAL,CZE,M,Canoe Sprint,Men's Kayak Single 1000m,ATH
Silver Medal,2,10-08-2024,Adam VARGA,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH
Bronze Medal,3,10-08-2024,Balint KOPASZ,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH
Gold Medal,1,10-08-2024,Katie VINCENT,CAN,W,Canoe Sprint,Women's Canoe Single 200m,ATH
Silver Medal,2,10-08-2024,Nevin HARRISON,USA,W,Canoe Sprint,Women's Canoe Single 200m,ATH
Bronze Medal,3,10-08-2024,Yarisleidis CIRILO DUBOYS,CUB,W,Canoe Sprint,Women's Canoe Single 200m,ATH
Gold Medal,1,10-08-2024,Lisa CARRINGTON,NZL,W,Canoe Sprint,Women's Kayak Single 500m,ATH
Silver Medal,2,10-08-2024,Tamara CSIPES,HUN,W,Canoe Sprint,Women's Kayak Single 500m,ATH
Bronze Medal,3,10-08-2024,Emma Aastrand JORGENSEN,DEN,W,Canoe Sprint,Women's Kayak Single 500m,ATH
Gold Medal,1,10-08-2024,Portugal,POR,M,Cycling Track,Men's Madison,TEAM
Silver Medal,2,10-08-2024,Italy,ITA,M,Cycling Track,Men's Madison,TEAM
Bronze Medal,3,10-08-2024,Denmark,DEN,M,Cycling Track,Men's Madison,TEAM
Gold Medal,1,10-08-2024,CAO Yuan,CHN,M,Diving,Men's 10m Platform,ATH
Silver Medal,2,10-08-2024,TAMAI Rikuto,JPN,M,Diving,Men's 10m Platform,ATH
Bronze Medal,3,10-08-2024,Noah WILLIAMS,GBR,M,Diving,Men's 10m Platform,ATH
Gold Medal,1,10-08-2024,United States,USA,W,Football,Women,HTEAM
Silver Medal,2,10-08-2024,Brazil,BRA,W,Football,Women,HTEAM
Gold Medal,1,10-08-2024,Lydia KO,NZL,W,Golf,Women's Individual Stroke Play,ATH
Silver Medal,2,10-08-2024,Esther HENSELEIT,GER,W,Golf,Women's Individual Stroke Play,ATH
Bronze Medal,3,10-08-2024,LIN Xiyu Janet,CHN,W,Golf,Women's Individual Stroke Play,ATH
Gold Medal,1,10-08-2024,Norway,NOR,W,Handball,Women,HTEAM
Silver Medal,2,10-08-2024,France,FRA,W,Handball,Women,HTEAM
Bronze Medal,3,10-08-2024,Denmark,DEN,W,Handball,Women,HTEAM
Gold Medal,1,10-08-2024,Ahmed ELGENDY,EGY,M,Modern Pentathlon,Men's Individual,ATH
Silver Medal,2,10-08-2024,SATO Taishu,JPN,M,Modern Pentathlon,Men's Individual,ATH
Bronze Medal,3,10-08-2024,Giorgio MALAN,ITA,M,Modern Pentathlon,Men's Individual,ATH
Gold Medal,1,10-08-2024,Janja GARNBRET,SLO,W,Sport Climbing,Women's Boulder & Lead,ATH
Silver Medal,2,10-08-2024,Brooke RABOUTOU,USA,W,Sport Climbing,Women's Boulder & Lead,ATH
Bronze Medal,3,10-08-2024,Jessica PILZ,AUT,W,Sport Climbing,Women's Boulder & Lead,ATH
Gold Medal,1,10-08-2024,China,CHN,W,Table Tennis,Women's Team,HTEAM
Silver Medal,2,10-08-2024,Japan,JPN,W,Table Tennis,Women's Team,HTEAM
Bronze Medal,3,10-08-2024,Korea,KOR,W,Table Tennis,Women's Team,HTEAM
Gold Medal,1,10-08-2024,Arian SALIMI,IRI,M,Taekwondo,Men +80kg,HATH
Silver Medal,2,10-08-2024,Caden CUNNINGHAM,GBR,M,Taekwondo,Men +80kg,HATH
Bronze Medal,3,10-08-2024,Rafael ALBA,CUB,M,Taekwondo,Men +80kg,HATH
Bronze Medal,3,10-08-2024,Cheick Sallah CISSE,CIV,M,Taekwondo,Men +80kg,HATH
Gold Medal,1,10-08-2024,Althea LAURIN,FRA,W,Taekwondo,Women +67kg,HATH
Silver Medal,2,10-08-2024,Svetlana OSIPOVA,UZB,W,Taekwondo,Women +67kg,HATH
Bronze Medal,3,10-08-2024,LEE Dabin,KOR,W,Taekwondo,Women +67kg,HATH
Bronze Medal,3,10-08-2024,Nafia KUS AYDIN,TUR,W,Taekwondo,Women +67kg,HATH
Gold Medal,1,10-08-2024,France,FRA,M,Volleyball,Men,HTEAM
Silver Medal,2,10-08-2024,Poland,POL,M,Volleyball,Men,HTEAM
Bronze Medal,3,10-08-2024,Brazil,BRA,W,Volleyball,Women,HTEAM
Gold Medal,1,10-08-2024,Spain,ESP,W,Water Polo,Women,HTEAM
Silver Medal,2,10-08-2024,Australia,AUS,W,Water Polo,Women,HTEAM
Bronze Medal,3,10-08-2024,Netherlands,NED,W,Water Polo,Women,HTEAM
Gold Medal,1,10-08-2024,Lasha TALAKHADZE,GEO,M,Weightlifting,Men's +102kg,ATH
Silver Medal,2,10-08-2024,Varazdat LALAYAN,ARM,M,Weightlifting,Men's +102kg,ATH
Bronze Medal,3,10-08-2024,Gor MINASYAN,BRN,M,Weightlifting,Men's +102kg,ATH
Gold Medal,1,10-08-2024,LIU Huanhua,CHN,M,Weightlifting,Men's 102kg,ATH
Silver Medal,2,10-08-2024,Akbar DJURAEV,UZB,M,Weightlifting,Men's 102kg,ATH
Bronze Medal,3,10-08-2024,Yauheni TSIKHANTSOU,AIN,M,Weightlifting,Men's 102kg,ATH
Gold Medal,1,10-08-2024,Solfrid Eila Amena KOANDA,NOR,W,Weightlifting,Women's 81kg,ATH
Silver Medal,2,10-08-2024,Sara AHMED,EGY,W,Weightlifting,Women's 81kg,ATH
Bronze Medal,3,10-08-2024,Neisi Patricia DAJOMES BARRERA,ECU,W,Weightlifting,Women's 81kg,ATH
Gold Medal,1,10-08-2024,Geno PETRIASHVILI,GEO,M,Wrestling,Men's Freestyle 125kg,HATH
Silver Medal,2,10-08-2024,Amir Hossein ZARE,IRI,M,Wrestling,Men's Freestyle 125kg,HATH
Bronze Medal,3,10-08-2024,Taha AKGUL,TUR,M,Wrestling,Men's Freestyle 125kg,HATH
Bronze Medal,3,10-08-2024,Giorgi MESHVILDISHVILI,AZE,M,Wrestling,Men's Freestyle 125kg,HATH
Gold Medal,1,10-08-2024,Razambek Salambekovitch JAMALOV,UZB,M,Wrestling,Men's Freestyle 74kg,HATH
Silver Medal,2,10-08-2024,TAKATANI Daichi,JPN,M,Wrestling,Men's Freestyle 74kg,HATH
Bronze Medal,3,10-08-2024,Kyle Douglas DAKE,USA,M,Wrestling,Men's Freestyle 74kg,HATH
Bronze Medal,3,10-08-2024,Chermen VALIEV,ALB,M,Wrestling,Men's Freestyle 74kg,HATH
Gold Medal,1,10-08-2024,MOTOKI Sakura,JPN,W,Wrestling,Women's Freestyle 62kg,HATH
Silver Medal,2,10-08-2024,Iryna KOLIADENKO,UKR,W,Wrestling,Women's Freestyle 62kg,HATH
Bronze Medal,3,10-08-2024,Aisuluu TYNYBEKOVA,KGZ,W,Wrestling,Women's Freestyle 62kg,HATH
Bronze Medal,3,10-08-2024,Grace Jacob BULLEN,NOR,W,Wrestling,Women's Freestyle 62kg,HATH
Gold Medal,1,11-08-2024,Sifan HASSAN,NED,W,Athletics,Women's Marathon,ATH
Silver Medal,2,11-08-2024,Tigst ASSEFA,ETH,W,Athletics,Women's Marathon,ATH
Bronze Medal,3,11-08-2024,Hellen OBIRI,KEN,W,Athletics,Women's Marathon,ATH
Gold Medal,1,11-08-2024,United States,USA,W,Basketball,Women,HTEAM
Silver Medal,2,11-08-2024,France,FRA,W,Basketball,Women,HTEAM
Bronze Medal,3,11-08-2024,Australia,AUS,W,Basketball,Women,HTEAM
Gold Medal,1,11-08-2024,Harrie LAVREYSEN,NED,M,Cycling Track,Men's Keirin,ATH
Silver Medal,2,11-08-2024,Matthew RICHARDSON,AUS,M,Cycling Track,Men's Keirin,ATH
Bronze Medal,3,11-08-2024,Matthew GLAETZER,AUS,M,Cycling Track,Men's Keirin,ATH
Gold Medal,1,11-08-2024,Jennifer VALENTE,USA,W,Cycling Track,Women's Omnium,ATH
Silver Medal,2,11-08-2024,Daria PIKULIK,POL,W,Cycling Track,Women's Omnium,ATH
Bronze Medal,3,11-08-2024,Ally WOLLASTON,NZL,W,Cycling Track,Women's Omnium,ATH
Gold Medal,1,11-08-2024,Ellesse ANDREWS,NZL,W,Cycling Track,Women's Sprint,ATH
Silver Medal,2,11-08-2024,Lea FRIEDRICH,GER,W,Cycling Track,Women's Sprint,ATH
Bronze Medal,3,11-08-2024,Emma FINUCANE,GBR,W,Cycling Track,Women's Sprint,ATH
Gold Medal,1,11-08-2024,Denmark,DEN,M,Handball,Men,HTEAM
Silver Medal,2,11-08-2024,Germany,GER,M,Handball,Men,HTEAM
Bronze Medal,3,11-08-2024,Spain,ESP,M,Handball,Men,HTEAM
Gold Medal,1,11-08-2024,Michelle GULYAS,HUN,W,Modern Pentathlon,Women's Individual,ATH
Silver Medal,2,11-08-2024,Elodie CLOUVEL,FRA,W,Modern Pentathlon,Women's Individual,ATH
Bronze Medal,3,11-08-2024,SEONG Seungmin,KOR,W,Modern Pentathlon,Women's Individual,ATH
Gold Medal,1,11-08-2024,Italy,ITA,W,Volleyball,Women,HTEAM
Silver Medal,2,11-08-2024,United States,USA,W,Volleyball,Women,HTEAM
Gold Medal,1,11-08-2024,Serbia,SRB,M,Water Polo,Men,HTEAM
Silver Medal,2,11-08-2024,Croatia,CRO,M,Water Polo,Men,HTEAM
Bronze Medal,3,11-08-2024,United States,USA,M,Water Polo,Men,HTEAM
Gold Medal,1,11-08-2024,LI Wenwen,CHN,W,Weightlifting,Women's +81kg,ATH
Silver Medal,2,11-08-2024,PARK Hyejeong,KOR,W,Weightlifting,Women's +81kg,ATH
Bronze Medal,3,11-08-2024,Emily CAMPBELL,GBR,W,Weightlifting,Women's +81kg,ATH
Gold Medal,1,11-08-2024,KIYOOKA Kotaro,JPN,M,Wrestling,Men's Freestyle 65kg,HATH
Silver Medal,2,11-08-2024,Rahman AMOUZADKHALILI,IRI,M,Wrestling,Men's Freestyle 65kg,HATH
Bronze Medal,3,11-08-2024,Sebastian C RIVERA,PUR,M,Wrestling,Men's Freestyle 65kg,HATH
Bronze Medal,3,11-08-2024,Islam DUDAEV,ALB,M,Wrestling,Men's Freestyle 65kg,HATH
Gold Medal,1,11-08-2024,Akhmed TAZHUDINOV,BRN,M,Wrestling,Men's Freestyle 97kg,HATH
Silver Medal,2,11-08-2024,Givi MATCHARASHVILI,GEO,M,Wrestling,Men's Freestyle 97kg,HATH
Bronze Medal,3,11-08-2024,Magomedkhan MAGOMEDOV,AZE,M,Wrestling,Men's Freestyle 97kg,HATH
Bronze Medal,3,11-08-2024,Amirali AZARPIRA,IRI,M,Wrestling,Men's Freestyle 97kg,HATH
Gold Medal,1,11-08-2024,KAGAMI Yuka,JPN,W,Wrestling,Women's Freestyle 76kg,HATH
Silver Medal,2,11-08-2024,Kennedy Alexis BLADES,USA,W,Wrestling,Women's Freestyle 76kg,HATH
Bronze Medal,3,11-08-2024,Milaimy de la Carid. MARIN POTRILLE,CUB,W,Wrestling,Women's Freestyle 76kg,HATH
Bronze Medal,3,11-08-2024,Tatiana RENTERIA RENTERIA,COL,W,Wrestling,Women's Freestyle 76kg,HATH
Gold Medal,1,10-08-2024,People's Republic of China,CHN,W,Rhythmic Gymnastics,Group All-Around,TEAM
Silver Medal,2,10-08-2024,Israel,ISR,W,Rhythmic Gymnastics,Group All-Around,TEAM
Bronze Medal,3,10-08-2024,Italy,ITA,W,Rhythmic Gymnastics,Group All-Around,TEAM
Gold Medal,1,09-08-2024,VARFOLOMEEV Darja,GER,W,Rhythmic Gymnastics,Individual All-Around,ATH
Silver Medal,2,09-08-2024,KALEYN Boryana,BUL,W,Rhythmic Gymnastics,Individual All-Around,ATH
Bronze Medal,3,09-08-2024,RAFFAELI Sofia,ITA,W,Rhythmic Gymnastics,Individual All-Around,ATH
Gold Medal,1,09-08-2024,THIAM Nafissatou,BEL,W,Athletics,Women's Heptathlon,ATH
Silver Medal,2,09-08-2024,JOHNSON-THOMPSON Katarina,GBR,W,Athletics,Women's Heptathlon,ATH
Bronze Medal,3,09-08-2024,VIDTS Noor,BEL,W,Athletics,Women's Heptathlon,ATH
